window_id,window_label,stock_code,company_name,cb_code,issue_date,factor_as_of_date,buy_date,buy_price,sell_date,sell_price,return_pct,momentum_20d,momentum_60d,ma5_gt_ma10_gt_ma20,volume_ratio_5v20,top1_foreign_net_20d_pct_capital,top1_trust_net_20d_pct_capital,revenue_yoy,eps,contract_liability_growth
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,4433,興采實業股份有限公司,44332,2020-10-22,2020-09-25,2020-09-28,31.7478,2020-11-04,34.5594,8.8561,-10.9677,25.0387,False,0.6046,,,0.7402,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,4433,興采實業股份有限公司,44332,2020-10-22,2020-11-18,2020-11-19,34.9499,2021-09-01,28.5473,-18.3195,-5.3515,-4.1445,False,0.9326,,,-0.0222,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,4121,優盛醫學科技股份有限公司,41212,2020-10-23,2020-09-28,2020-09-29,14.313,2020-11-05,14.5423,1.6023,-11.6883,-19.2399,False,0.7568,,,0.2587,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,4121,優盛醫學科技股份有限公司,41212,2020-10-23,2020-11-19,2020-11-20,15.5961,2021-09-02,19.4933,24.9885,7.0861,-3.7055,True,0.701,,,0.3297,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,6441,廣錠科技股份有限公司,64413,2020-10-26,2020-09-29,2020-09-30,102.5869,2020-11-06,150.9937,47.1862,-1.6949,27.7365,False,1.1017,,,1.3546,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,6441,廣錠科技股份有限公司,64413,2020-10-26,2020-11-20,2020-11-23,128.7887,2021-09-03,44.3566,-65.5586,-3.7162,7.5472,False,0.2014,,,2.5306,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,6441,廣錠科技股份有限公司,64414,2020-10-26,2020-09-29,2020-09-30,102.5869,2020-11-06,150.9937,47.1862,-1.6949,27.7365,False,1.1017,,,1.3546,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,6441,廣錠科技股份有限公司,64414,2020-10-26,2020-11-20,2020-11-23,128.7887,2021-09-03,44.3566,-65.5586,-3.7162,7.5472,False,0.2014,,,2.5306,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,6441,廣錠科技股份有限公司,64415,2020-10-27,2020-09-30,2020-10-05,107.472,2020-11-09,158.0992,47.1074,-5.5118,32.1412,False,0.9114,,,1.3546,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,6441,廣錠科技股份有限公司,64415,2020-10-27,2020-11-23,2020-11-24,130.5651,2021-09-06,42.9888,-67.0748,-1.6778,9.3284,False,0.1448,,,2.5306,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,5306,桂盟國際股份有限公司,53063,2020-10-30,2020-10-07,2020-10-08,158.7047,2020-11-12,153.2187,-3.4568,12.4293,6.8209,True,1.2618,,,0.4078,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,5306,桂盟國際股份有限公司,53063,2020-10-30,2020-11-26,2020-11-27,150.8675,2021-09-09,167.6747,11.1404,-5.8823,-1.5385,False,0.2577,,,0.36219999999999997,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,5223,安力國際股份有限公司,52231,2020-10-30,2020-10-07,2020-10-08,54.3811,2020-11-12,57.9221,6.5116,-1.9787,7.5101,False,0.4599,,,,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,5223,安力國際股份有限公司,52231,2020-10-30,2020-11-26,2020-11-27,62.5593,2021-09-09,45.8675,-26.6816,0.1353,-6.3291,False,1.5737,,,,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,6477,安集科技股份有限公司,64772,2020-10-30,2020-10-07,2020-10-08,38.897,2020-11-12,52.4886,34.9425,3.3079,31.79,False,0.8454,,,1.5159,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,6477,安集科技股份有限公司,64772,2020-10-30,2020-11-26,2020-11-27,58.3902,2021-09-09,32.8719,-43.7032,4.1936,75.0678,False,1.0994,,,0.3836,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,3653,健策精密工業股份有限公司,36533,2020-10-30,2020-10-07,2020-10-08,264.6562,2020-11-12,223.422,-15.5803,3.5,3.7316,False,0.6493,,,0.233,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,3653,健策精密工業股份有限公司,36533,2020-10-30,2020-11-26,2020-11-27,238.1485,2021-09-09,252.2098,5.9044,-9.4156,-8.8235,False,0.8916,,,-0.0313,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,3033,威健實業股份有限公司,30335,2020-11-03,2020-10-12,2020-10-13,12.424,2020-11-16,12.9058,3.8781,-5.7441,20.3333,False,0.2871,,,0.2937,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,3033,威健實業股份有限公司,30335,2020-11-03,2020-11-30,2020-12-01,13.4564,2021-09-13,20.1201,49.5204,8.011,8.011,True,1.47,,,0.2426,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,1593,祺驊股份有限公司,15932,2020-11-04,2020-10-13,2020-10-14,42.9502,2020-11-17,42.546,-0.9413,2.0408,0.167,False,0.6296,,,0.1534,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,1593,祺驊股份有限公司,15932,2020-11-04,2020-12-01,2020-12-02,43.1171,2021-09-14,71.0171,64.7076,-0.1202,-1.1075,False,1.0461,,,0.1867,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,6205,詮欣股份有限公司,62053,2020-11-04,2020-10-13,2020-10-14,26.9865,2020-11-17,30.0941,11.5151,-1.5083,-8.6713,False,0.6244,,,0.048,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,6205,詮欣股份有限公司,62053,2020-11-04,2020-12-01,2020-12-02,39.4576,2021-09-14,25.9293,-34.2856,34.4491,35.3933,True,3.1096,,,0.057699999999999994,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,3324,雙鴻科技股份有限公司,33244,2020-11-12,2020-10-21,2020-10-22,191.1725,2020-11-25,206.0805,7.7982,-8.9397,4.5346,False,0.4853,,,0.2228,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,3324,雙鴻科技股份有限公司,33244,2020-11-12,2020-12-09,2020-12-10,197.3111,2021-09-24,161.1554,-18.3242,-6.0166,2.4887,False,0.8244,,,0.305,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,3413,京鼎精密科技股份有限公司,34132,2020-11-16,2020-10-23,2020-10-26,140.5849,2020-11-27,161.2704,14.7139,-0.813,-9.6296,False,0.741,,,0.3549,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,3413,京鼎精密科技股份有限公司,34132,2020-11-16,2020-12-11,2020-12-14,169.3148,2021-09-28,167.0671,-1.3275,13.0769,17.2872,True,1.1776,,,0.0705,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,8070,長華電材股份有限公司,80704,2020-11-25,2020-11-03,2020-11-04,15.5496,2020-12-08,21.8833,40.7323,8.7719,14.2105,True,1.4891,,,0.058899999999999994,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,8070,長華電材股份有限公司,80704,2020-11-25,2020-12-22,2020-12-23,21.0283,2021-10-07,23.0375,9.555,24.3658,50.249,False,0.372,,,0.1641,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,3141,晶宏半導體股份有限公司,31411,2020-11-25,2020-11-03,2020-11-04,26.9536,2020-12-08,36.8258,36.6269,-1.8707,17.7944,False,1.5835,,,0.22579999999999997,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,3141,晶宏半導體股份有限公司,31411,2020-11-25,2020-12-22,2020-12-23,36.3207,2021-10-07,145.6968,301.1396,0.7692,33.6735,True,0.6474,,,0.5606,,
