stock_code,company_name,cb_code,short_name,issue_date,signal_date,entry_date,trust_daily_pct_capital,ma5,ma10,ma20,signal_volume,avg_volume_prev20,volume_ratio_signal_v20,fin_month,revenue_yoy,revenue_mom,revenue_high_6,fin_quarter,eps,operating_income,gross_margin,operating_margin,three_margin_qoq_rise,fixed_return_365d,hit_100_365d,min_low_return_365d,max_high_return_365d
2497,怡利電子工業股份有限公司,24972,怡利電二,2022-07-07,2022-08-24,2022-08-25,0.583341,71.1048,69.2921,67.3591,19324632.0,4010491.7,4.8185,2022-07,0.2487,-0.1913969981187489,False,,,,,,,-23.3294,False,-25.8385,15.9006
8938,明安國際企業股份有限公司,89383,明安三,2022-07-20,2022-08-30,2022-08-31,0.218753,75.9055,74.7888,72.2722,3867000.0,1210150.0,3.1955,2022-07,0.1161,0.04847090803232725,False,,,,,,,-19.6699,False,-25.7106,15.534
6477,安集科技股份有限公司,64774,安集四,2022-07-21,2022-07-28,2022-07-29,0.423442,49.8335,48.8331,48.6687,6478955.0,10166160.35,0.6373,2022-06,-0.1418,-0.3392254327635106,False,,,,,,,-13.9935,False,-27.5676,9.7297
4968,立積電子股份有限公司,49681,立積一,2022-07-29,2022-11-11,2022-11-14,0.253196,101.7189,99.5399,94.9698,6359858.0,3733550.75,1.7034,2022-10,0.049699999999999994,-0.009474176476723335,False,,,,,,,23.8532,False,-1.3761,82.1101
5009,榮剛材料科技股份有限公司,50096,榮剛六,2022-08-15,2022-09-26,2022-09-27,0.306961,23.756,23.5794,23.2919,28455000.0,5904650.0,4.8191,2022-08,0.305,0.0047228745251285216,True,,,,,,,59.4644,True,-7.6142,115.2063
6104,創惟科技股份有限公司,61041,創惟一,2022-08-26,2023-02-09,2023-02-10,0.41427,104.4019,98.5293,92.2813,9192000.0,7530350.0,1.2207,2022-12,-0.4594,0.13081836371231942,False,,,,,,,-7.4642,False,-21.0875,18.2402
2231,為升電裝工業股份有限公司,22313,為升三,2022-08-29,2022-09-23,2022-09-26,0.260834,138.879,138.4347,136.112,1361752.0,1177780.85,1.1562,2022-08,0.022799999999999997,0.048474917817560075,False,,,,,,,-3.9261,False,-17.6608,23.5088
6472,保瑞藥業股份有限公司,64722,保瑞二,2022-09-28,2022-11-08,2022-11-09,0.398666,191.5272,181.3513,178.8765,12443930.0,8394471.1,1.4824,2022-09,3.0864999999999996,2.845392606353968,True,,,,,,,159.8316,True,-1.8547,221.4358
6248,沛波鋼鐵股份有限公司,62484,沛波四,2022-10-26,2023-04-13,2023-04-14,0.294837,25.8117,23.8227,22.6841,9439000.0,1779050.0,5.3056,2023-03,0.7798999999999999,0.2138669576304433,True,,,,,,,3.2452,False,-26.5059,3.6871
8050,廣積科技股份有限公司,80506,廣積六,2022-11-22,2022-12-05,2022-12-06,0.252965,63.771,63.2389,62.3942,10294000.0,6269700.0,1.6419,2022-10,0.051,-0.10746999285490667,False,,,,,,,13.2466,False,-10.2792,50.9507
8422,可寧衛股份有限公司,84221,可寧衛一,2022-11-22,2023-06-16,2023-06-19,0.36735,17.1337,17.06,16.9454,7102090.0,2637856.5,2.6924,2023-05,0.23670000000000002,0.39057709611340086,True,,,,,,,-4.4502,False,-14.1798,3.0879
3533,嘉澤端子工業股份有限公司,35332,嘉澤二,2023-03-09,2023-08-18,2023-08-21,0.301401,720.6771,707.211,701.1359,2252484.0,1465808.45,1.5367,2023-07,-0.0802,0.052003996845887225,False,,,,,,,95.6798,True,-0.7624,124.2694
2727,王品餐飲股份有限公司,27271,王品一,2023-03-29,2023-05-04,2023-05-05,0.248091,251.1754,248.2538,243.6741,3036175.0,4864811.9,0.6241,2023-03,0.2007,-0.12649442789145623,False,,,,,,,-15.7665,False,-25.8677,14.7239
6438,迅得機械股份有限公司,64382,迅得二,2023-05-05,2024-03-27,2024-03-28,0.439682,111.8949,109.2724,107.8001,2295313.0,2813322.25,0.8159,2024-02,-0.2892,-0.1289687094461961,False,,,,,,,59.3635,True,-19.6116,107.9586
2421,建準電機工業股份有限公司,24213,建準三,2023-05-24,2023-05-26,2023-05-29,1.612005,67.8188,63.5934,58.6357,73967882.0,18666416.5,3.9626,2023-04,0.2469,-0.08987348975769317,False,,,,,,,35.9431,False,-4.8975,82.6188
4129,聯合骨科器材股份有限公司,41294,聯合四,2023-05-30,2023-06-02,2023-06-05,0.94712,59.488,57.4089,55.872,6755000.0,2634350.0,2.5642,2023-04,0.2445,-0.2118030700707866,False,,,,,,,34.1998,False,-14.1729,52.0286
6282,康舒科技股份有限公司,62822,康舒二,2023-06-13,2023-11-21,2023-11-22,0.717853,38.159,37.8005,37.7254,23586015.0,8113209.75,2.9071,2023-10,0.1804,-0.35228962593863516,False,,,,,,,-15.7031,False,-30.4348,10.7488
3617,碩天科技股份有限公司,36172,碩天二,2023-06-16,2023-08-11,2023-08-14,0.219674,199.2115,197.4581,194.3574,3277559.0,1820774.05,1.8001,2023-07,0.0832,0.1903716741745901,True,,,,,,,23.2941,False,-19.7389,39.9086
3587,閎康科技股份有限公司,35871,閎康一,2023-06-20,2023-07-17,2023-07-18,0.447738,220.7095,215.679,207.077,1042000.0,1263858.1,0.8245,2023-06,0.2826,0.025447874595113367,True,,,,,,,17.0522,False,-20.0803,31.7269
5608,四維航業股份有限公司,56086,四維航六,2023-06-21,2024-05-14,2024-05-15,0.796359,20.85,20.27,19.5075,32289569.0,6713876.1,4.8094,2024-04,-0.10830000000000001,-0.02395572823627486,False,,,,,,,-24.6187,False,-40.5229,9.1503
5434,崇越科技股份有限公司,54342,崇越二,2023-06-29,2024-04-18,2024-04-19,0.360891,234.6485,230.8698,216.6305,3852593.0,2278728.45,1.6907,2024-03,-0.0235,0.10532597316583343,False,,,,,,,-4.9813,False,-18.2999,30.601
9958,世紀鋼鐵結構股份有限公司,99585,世紀鋼五,2023-07-19,2023-12-05,2023-12-06,0.410936,163.8235,162.8105,159.7955,11191969.0,5945808.75,1.8823,2023-10,0.4191,0.038877292141687274,False,,,,,,,0.3046,True,-8.7432,104.0984
5009,榮剛材料科技股份有限公司,50097,榮剛七,2023-07-31,2023-12-01,2023-12-04,0.219416,41.1397,40.7971,39.9558,12282000.0,6283200.0,1.9547,2023-10,0.0275,0.07250324084379788,False,,,,,,,1.2183,False,-8.8265,18.3551
6472,保瑞藥業股份有限公司,64723,保瑞三,2023-08-04,2024-01-17,2024-01-18,0.28594,536.1696,530.8482,524.4383,10750091.0,1495502.55,7.1883,2023-12,-0.434,-0.15646824283781816,False,,,,,,,14.7646,False,-11.5607,40.8959
8255,朋程科技股份有限公司,82551,朋程一,2023-08-09,2023-12-29,2024-01-02,0.323685,170.5307,168.6328,166.0869,1282000.0,1067400.0,1.201,2023-11,0.4524,0.15241599322835148,True,,,,,,,-8.8577,False,-20.0794,24.8663
6414,樺漢科技股份有限公司,64145,樺漢五,2023-08-16,2023-09-08,2023-09-11,0.715788,240.3865,236.3771,234.9516,2145024.0,1572343.85,1.3642,2023-07,0.0548,-0.09124801215343774,False,,,,,,,5.3486,False,-11.2116,35.2622
1514,亞力電機股份有限公司,15141,亞力一,2023-08-17,2023-11-24,2023-11-27,0.332439,52.5867,52.344,50.8203,45167432.0,3665310.9,12.3229,2023-10,0.17190000000000003,0.2075978358069725,True,,,,,,,90.0042,True,-1.2903,196.7742
3088,艾訊股份有限公司,30882,艾訊二,2023-08-28,2024-09-04,2024-09-05,0.231257,86.1487,84.9873,83.0121,787000.0,315650.0,2.4933,2024-07,-0.0171,0.1705541034333947,True,2024Q2,3.08,372126.0,0.37635764014187434,0.12285939640335346,False,-2.6413,False,-9.7595,71.0383
6873,泓德能源科技股份有限公司,68731,泓德能源一創,2023-09-28,2024-10-01,2024-10-04,0.245,233.3631,231.4874,217.6748,3058345.0,1933037.35,1.5821,2024-08,1.2782,-0.7506678669618744,False,2024Q2,1.56,251426.0,0.2599174650181937,0.11663354505189052,False,-47.6329,False,-48.4985,2.3149
3680,家登精密工業股份有限公司,36804,家登四,2023-10-18,2023-11-23,2023-11-24,0.405938,360.214,356.0497,347.8157,3976000.0,1633900.0,2.4334,2023-10,1.0703,0.0044404287523553574,True,,,,,,,33.1973,False,-8.9457,59.9944
6585,鼎基先進材料股份有限公司,65851,鼎基一,2023-10-26,2023-12-29,2024-01-02,0.288838,115.6107,114.2798,112.594,2543418.0,995462.05,2.555,2023-11,0.2072,-0.0681915713759461,False,,,,,,,9.0474,False,-11.7647,74.6323
3006,晶豪科技股份有限公司,30061,晶豪科一,2023-10-27,2023-11-14,2023-11-15,0.244621,89.4382,89.1666,88.1435,20921969.0,10002775.7,2.0916,2023-10,0.1677,0.05091691345244622,True,,,,,,,-30.3716,False,-31.2055,12.9534
6189,豐藝電子股份有限公司,61894,豐藝四,2023-11-10,2024-07-01,2024-07-02,0.941951,67.1161,66.686,65.722,18717850.0,4963142.2,3.7714,2024-05,0.2959,-0.12102475709580635,False,2024Q1,2.27,509262.0,0.07742122525405146,0.04483521893597814,,-19.22,False,-44.0833,12.9353
3013,晟銘電子科技股份有限公司,30133,晟銘電三,2023-11-16,2024-05-31,2024-06-03,0.400643,89.3185,88.2121,83.0952,39301854.0,40838888.7,0.9624,2024-04,0.7998000000000001,0.40203370103982156,True,2024Q1,0.39,63704.0,0.1422991916609842,0.04365784541158813,,2.4873,False,-18.1608,89.2734
9941,裕融企業股份有限公司,99412,裕融二,2023-11-20,2024-06-19,2024-06-20,0.265402,139.914,136.1149,132.5122,3137425.0,2127376.9,1.4748,2024-05,-0.0213,0.00700453400736142,False,2024Q1,2.27,1768131.0,0.5209642062281896,0.17006660865465253,,-35.6167,False,-41.9913,0.6116
6806,森崴能源股份有限公司,68061,森崴能源一,2023-11-22,2024-02-16,2024-02-19,0.425168,107.8634,107.5724,105.7537,12454799.0,2555756.65,4.8732,2024-01,0.6999,,,,,,,,,-1.9456,False,-11.6665,60.6694
