stock_code,company_name,short_name,cb_code,issue_date,buy_date,buy_price,sell_date,sell_price,return_pct,momentum_5d,momentum_10d,momentum_20d,volume_ratio_5v20,avg_volume_20,ma_bull
6125,廣運機械工程股份有限公司,廣運五,61255,2024-06-21,2024-05-22,104.91,2024-07-01,107.38,2.36,15.638761134133947,20.551098199470452,20.137298984008332,1.3382064785022647,29727550.0,True
1438,三地開發地產股份有限公司,三地開發一,14381,2024-12-19,2024-11-19,52.0,2024-12-27,53.3,2.5,-4.05904194090668,-6.810034568130802,-19.753090198983546,0.6283801170684777,184396.35,False
5457,宣德科技股份有限公司,宣德三,54573,2024-03-06,2024-02-05,56.81,2024-03-14,58.45,2.89,-3.4426235035637984,1.3769378633812954,2.0797180584271153,1.2940976645435245,1177500.0,True
5263,智崴資訊科技股份有限公司,智崴五,52635,2024-03-04,2024-02-05,111.04,2024-03-12,114.49,3.11,0.0,-1.7543916748457,-1.3215885432451226,1.2387923147301005,109300.0,False
6111,大宇資訊股份有限公司,大宇資二,61112,2024-09-10,2024-08-12,60.0,2024-09-18,62.1,3.5,4.728547872314129,-8.000001173753004,-15.893107566202705,0.9347874971891162,889400.0,False
3322,建舜電子製造股份有限公司,建舜電五,33225,2024-09-02,2024-08-05,19.29,2024-09-10,20.05,3.92,-2.2167457979480534,-8.944945650607181,-16.30794572129679,1.005931352163975,1010208.1,False
6840,東研信超股份有限公司,東研信超一,68401,2024-05-27,2024-04-29,64.12,2024-06-04,66.83,4.23,-1.8105886453009021,-1.5363106245354976,-2.083331377798136,0.629080118694362,18535.0,False
3583,辛耘企業股份有限公司,辛耘二,35832,2024-06-19,2024-05-20,327.49,2024-06-27,341.6,4.31,5.956100962963311,-3.01292140153554,6.79305001867924,0.45657151914791755,7222624.85,False
6706,惠特科技股份有限公司,惠特二,67062,2024-10-25,2024-09-25,169.0,2024-11-04,176.5,4.44,1.2012012012012012,22.99270072992701,31.640625,1.2219195580167501,9680493.55,True
6645,金萬林企業股份有限公司,金萬林一創,66451,2024-12-04,2024-11-04,25.25,2024-12-12,26.4,4.55,-0.39840788824669754,-6.7164152548609275,-14.965985291227813,0.962600625544788,48757.5,False
6515,穎崴科技股份有限公司,穎崴一,65151,2024-05-31,2024-05-02,823.38,2024-06-11,871.87,5.89,2.0731806903868835,-0.8293764472479564,15.927989839848609,0.5085359078870332,1055473.55,False
9933,中鼎工程股份有限公司,中鼎二,99332,2024-07-23,2024-06-24,44.38,2024-07-31,47.05,6.01,5.305305930426927,7.786884866231223,11.558846676326406,3.226018672762151,2872049.65,True
8489,三貝德數位文創股份有限公司,三貝德一,84891,2024-12-09,2024-11-11,29.15,2024-12-17,31.1,6.69,0.5263144509834156,-2.881357225321107,1.4159278532045076,0.5544973544973545,47250.0,False
6624,萬年清環境工程股份有限公司,萬年清一,66241,2024-07-05,2024-06-05,36.19,2024-07-15,38.69,6.89,5.660372306242235,5.518161708070279,-5.9952088872007305,0.7142857142857143,28000.0,False
3257,虹冠電子工業股份有限公司,虹冠電一,32571,2024-11-01,2024-10-04,51.95,2024-11-11,55.97,7.75,-3.565367069360286,11.591348483367268,9.021114934036195,3.1739667829231424,202426.0,True
3313,斐成開發科技股份有限公司,斐成三,33133,2024-11-29,2024-10-30,14.95,2024-12-09,16.15,8.03,-7.430339551762431,-7.716054906206724,-13.333334439042686,0.5793048341989613,250300.0,False
9935,慶豐富實業股份有限公司,慶豐富三,99353,2024-10-14,2024-09-16,29.25,2024-10-22,31.7,8.37,4.370624702973734,-1.1589446287781326,-7.153973292702623,0.3786426858492693,2456997.15,False
